text,emotion,processed_text
"cần có tài liệu , giáo trình của trường một cách cụ thể và cập nhật hơn .",negative,tài liệu giáo trình trường một cách cụ thể cập nhật hơn
nên có thêm nhiều bài tập về nhà để củng cố kiến thức .,negative,thêm nhiều bài tập về nhà để củng cố kiến thức
"tháng học môn kiến trúc máy tính 4 ngày , nghỉ 3 ngày , bù trùng lịch 3 môn không học được rớt tốn tiền .",negative,tháng học môn kiến trúc máy tính ngày nghỉ ngày bù trùng lịch môn học rớt tốn tiền
"cập nhật slide mới , tài liệu slide cũ có nhiều điểm khác slide mới không cập nhât đúng thứ tự , ví dụ .",negative,cập nhật slide mới tài liệu slide cũ nhiều điểm khác slide mới cập nhât đúng thứ tự ví dụ
cô dạy rất có tâm và chuyên môn tốt colonsmile .,positive,cô dạy tâm chuyên môn tốt colonsmile
điều này xảy ra ở mọi tiết học .,negative,điều xảy ra mọi tiết học
nên bổ xung phần thực hành !,negative,bổ xung phần thực hành
"tận tình , dễ hiểu .",positive,tận tình dễ hiểu
cô nên cho học sinh thêm nhiều slide .,negative,cô học sinh thêm nhiều slide
cô cho ví dụ minh họa dễ hiểu .,positive,cô ví dụ minh họa dễ hiểu
phòng máy không tốt .,negative,phòng máy tốt
thầy giảng bài hay và có mở rộng thêm kiến thức bên ngoài .,positive,thầy giảng bài hay mở rộng thêm kiến thức bên
cách dạy của giảng viên mới lạ và thực tế .,positive,cách dạy giảng viên mới lạ thực tế
thầy rất giỏi .,positive,thầy giỏi
ít bài tập cho sinh viên .,positive,ít bài tập sinh viên
có lấy nhiều ví dụ liên hệ thực tiễn .,positive,lấy nhiều ví dụ liên hệ thực tiễn
"bài tập lớn trong môn học , đóng góp phần lớn điểm yêu cầu sinh viên phải có smartphone và laptop cỡ trung trở lên để thực hiện ( nhận diện giọng nói , nhận diện chữ viết , game với engine phát triển game cho smartphone ) , điều này gây khó khăn cho sinh viên không có điều kiện , yêu cầu sinh viên tìm hiểu các framework chưa từng nghe tên để làm bài tập .",negative,bài tập lớn môn học đóng góp phần lớn điểm yêu cầu sinh viên smartphone laptop cỡ trung trở lên để thực hiện nhận diện giọng nói nhận diện chữ viết game engine phát triển game smartphone điều gây khó khăn sinh viên điều kiện yêu cầu sinh viên tìm hiểu các framework chưa từng nghe tên để làm bài tập
cần áp đặt việc kiểm tra bài cũ và bài mới trên giờ học nhiều hơn .,negative,áp đặt việc kiểm tra bài cũ bài mới giờ học nhiều hơn
giờ học khá nhiều .,negative,giờ học khá nhiều
thầy nên cho bài tập môn hệ điều hành nhiều hơn nữa .,negative,thầy bài tập môn hệ điều hành nhiều hơn nữa
bài giảng tạo cảm giác hứng thú và tiếp thu bài tốt .,positive,bài giảng tạo cảm giác hứng thú tiếp thu bài tốt
giảng viên giảng dạy hay .,positive,giảng viên giảng dạy hay
"nhiệt tình , thân thiện với sinh viên .",positive,nhiệt tình thân thiện sinh viên
thầy truyền đạt kiến thức chưa tốt .,negative,thầy truyền đạt kiến thức chưa tốt
giúp em biết được một phần thực tế của công việc sau này .,positive,giúp biết một phần thực tế công việc sau này
"giảng viên tận tâm , nhiệt tình , gần gũi với sinh viên .",positive,giảng viên tận tâm nhiệt tình gần gũi sinh viên
giải chi tiết bài .,positive,giải chi tiết bài
"giảng viên giảng dạy nhiệt tình , nội dung giảng dạy đầy đủ , ôn tập sát với nội dung kiểm tra .",positive,giảng viên giảng dạy nhiệt tình nội dung giảng dạy đầy đủ ôn tập sát nội dung kiểm tra
môn học khá khó không phù hợp .,negative,môn học khá khó phù hợp
hiện tại môn học còn mang tính lý thuyết quá nặng .,negative,hiện tại môn học mang tính lý thuyết nặng
"ngoài ra , có bài không thấy yêu cầu nộp video nên em nộp code không cũng bị trừ , bài cuối thầy dặn không cần làm cũng chấm em 0 điểm .",negative,ngoài ra bài thấy yêu cầu nộp video nộp code trừ bài cuối thầy dặn làm chấm điểm
thầy khá là tận tâm trong việc truyền đạt kiến thức .,negative,thầy khá tận tâm việc truyền đạt kiến thức
"nhiệt tình , vui tính , hòa đồng , dễ gần gũi .",positive,nhiệt tình vui tính hòa đồng dễ gần gũi
đánh giá tính chuyên cần .,neutral,đánh giá tính chuyên
không trả lời mail từ sinh viên .,negative,trả lời mail sinh viên
"thầy có thể soạn thêm nhiều dạng bài tập , để khi thi mấy bạn đỡ bỡ ngỡ hơn , kết quả sẽ tốt hơn .",negative,thầy có thể soạn thêm nhiều dạng bài tập để khi thi mấy đỡ bỡ ngỡ hơn kết quả tốt hơn
nhiều việc cần xử lý .,negative,nhiều việc xử lý
"gần gũi , vui vẻ với sinh viên .",positive,gần gũi vui vẻ sinh viên
thực hành ngay trên lớp lý thuyết thì sẽ hay hơn .,negative,thực hành ngay lớp lý thuyết thì hay hơn
nhiệt tình tận tâm với học sinh .,positive,nhiệt tình tận tâm học sinh
phân chia dụng cụ luyện tập chưa hợp lý .,negative,phân chia dụng cụ luyện tập chưa hợp lý
cho nhiều bài tập đa dạng .,positive,nhiều bài tập đa dạng
"tại sao có rất nhiều vấn đề hay liên quan đến phần mềm nhà trường lại không dạy , dành ra 4 chỉ cho môn "" đặc tả hình thức "" chỉ để đóng học phí và học đối phó cho qua .",negative,tại sao nhiều vấn đề hay liên quan đến phần mềm nhà trường lại dạy dành ra chỉ môn đặc tả hình thức chỉ để đóng học phí học đối phó cho qua
nghỉ và học bù hơi nhiều .,negative,nghỉ học bù hơi nhiều
thầy nên cho bọn em xem code chạy thử colonsmallsmile .,negative,thầy bọn xem code chạy thử colonsmallsmile
"thầy giảng dạy rất nhiệt tình , dễ hiểu .",positive,thầy giảng dạy nhiệt tình dễ hiểu
tăng cường một số tài liệu học cơ bản .,negative,tăng cường một số tài liệu học cơ bản
phải bỏ tiền học lại .,negative,bỏ tiền học lại
bài tập theo sát đề cương .,positive,bài tập theo sát đề cương
chưa gặp lần nào .,neutral,chưa gặp lần nào
"project môn học thầy wzjwz180 yêu cầu làm ở mức độ tìm hiểu , nhưng lúc lên báo với thầy wzjwz181 thì thầy không chấp nhận .",negative,project môn học thầy wzjwz yêu cầu làm mức độ tìm hiểu nhưng lúc lên báo thầy wzjwz thì thầy chấp nhận
nói những vấn đề không liên quan .,negative,nói những vấn đề liên quan
"giảng viên vui vẻ , nhiệt tình , thân thiện , cách diễn đạt tự nhiên dễ hiểu .",positive,giảng viên vui vẻ nhiệt tình thân thiện cách diễn đạt tự nhiên dễ hiểu
"thầy dạy rất chuẩn và nhiệt tình , kèm theo thời gian tập luyện và nghỉ ngơi hợp lý !",positive,thầy dạy chuẩn nhiệt tình kèm theo thời gian tập luyện nghỉ ngơi hợp lý
"cô giảng dạy nhiệt tình , cô bài tập trên courses nhiều dù có vắng mặt hay lơ là trong lúc học vẫn nắm được bài và học tốt .",positive,cô giảng dạy nhiệt tình cô bài tập courses nhiều dù vắng mặt hay lơ là lúc học vẫn nắm bài học tốt
"bài tập nhiều , có nhiều câu hỏi hay .",positive,bài tập nhiều nhiều câu hỏi hay
"giảng viên là người giảng dạy nhiệt tình , khả năng truyền đạt cực kỳ tốt , tài liệu đi kèm môn học hay .",positive,giảng viên người giảng dạy nhiệt tình khả năng truyền đạt cực kỳ tốt tài liệu đi kèm môn học hay
"phương pháp dạy của cô đạt hiệu quả với sinh viên yếu , kém nhưng lại nhàm chán , tốn khá nhiều thời gian cho sinh viên học mức khá giỏi trở lên , kiến thức mới ngoài giáo trình mạng lại chưa nhiều , gần như không .",negative,phương pháp dạy cô đạt hiệu quả sinh viên yếu kém nhưng lại nhàm chán tốn khá nhiều thời gian sinh viên học mức khá giỏi trở lên kiến thức mới giáo trình mạng lại chưa nhiều gần như
hy vọng thầy đảm bảo thời gian lên lớp đủ 30 tiết .,negative,hy vọng thầy đảm bảo thời gian lên lớp đủ tiết
nên hướng dẫn sinh viên nhiều hơn .,negative,hướng dẫn sinh viên nhiều hơn
cô vào trễ .,negative,cô vào trễ
"giảng viên dạy dễ hiểu , quan tâm đến học sinh .",positive,giảng viên dạy dễ hiểu quan tâm đến học sinh
"thầy dạy không dạy nhiều trong mỗi buổi học , thời gian dạy trên lớp không đảm bảo .",negative,thầy dạy dạy nhiều mỗi buổi học thời gian dạy lớp đảm bảo
"nhiệt tình với sinh viên , có kiến thức tốt .",positive,nhiệt tình sinh viên kiến thức tốt
truyền đạt kiến thức tốt .,positive,truyền đạt kiến thức tốt
"giáo viên dạy nhiệt tình , kết hợp với nhiều ví dụ cụ thể làm bài giảng dễ hiểu , vui vẻ trong quá trình giảng bài .",positive,giáo viên dạy nhiệt tình kết hợp nhiều ví dụ cụ thể làm bài giảng dễ hiểu vui vẻ quá trình giảng bài
"giảng dạy kỹ , quan tâm sinh viên .",positive,giảng dạy kỹ quan tâm sinh viên
"giảng viên nhiệt tình , kết hợp truyền đạt nhiều kiến thức trong thực tiễn .",positive,giảng viên nhiệt tình kết hợp truyền đạt nhiều kiến thức thực tiễn
cần những hướng dẫn chi tiết hơn vì tiếp xúc những cái mới thực hành môn lập trình nhúng thầy không hướng dẫn sinh viên mà để sinh viên tự làm 100% .,negative,những hướng dẫn chi tiết hơn vì tiếp xúc những cái mới thực hành môn lập trình nhúng thầy hướng dẫn sinh viên mà để sinh viên tự làm
hy vọng được học và làm việc với thầy nhiều hơn .,positive,hy vọng học làm việc thầy nhiều hơn
tài liệu thầy cho đem về ôn cũng phải chờ rất lâu mới có .,negative,tài liệu thầy đem về ôn chờ lâu mới
"tinh thần trách nhiệm , nhiệt huyết , vui vẻ hòa đồng với sinh viên .",positive,tinh thần trách nhiệm nhiệt huyết vui vẻ hòa đồng sinh viên
quan tâm tới sinh viên vui vẻ .,positive,quan tâm tới sinh viên vui vẻ
nhiều phần học không kỹ nên khó khăn trong thi .,negative,nhiều phần học kỹ khó khăn thi
"chuyên môn cao , nhiệt tình .",positive,chuyên môn cao nhiệt tình
"học tới đâu , ôn tới đó .",positive,học tới đâu ôn tới
hướng dẫn cụ thế phương pháp cho từng bài thực hành .,positive,hướng dẫn cụ phương pháp từng bài thực hành
sẵn sàng giải đáp tận tình mọi thắc mắc của sinh viên khi được hỏi .,positive,sẵn sàng giải đáp tận tình mọi thắc mắc sinh viên khi hỏi
điểm danh nhiều quá .,negative,điểm danh nhiều
tăng cường thêm thiết bị để môn học được hiệu quả .,negative,tăng cường thêm thiết bị để môn học hiệu quả
em cũng không biết là cô hay thầy nữa .,negative,biết cô hay thầy nữa
cô ít tương tác với sinh viên .,negative,cô ít tương tác sinh viên
"thầy dạy dễ hiểu , siêng chép , vui tính .",positive,thầy dạy dễ hiểu siêng chép vui tính
hay bị bù thời gian học .,negative,hay bù thời gian học
thầy quan tâm cho sinh viên .,positive,thầy quan tâm sinh viên
nên có thời gian nghỉ giải lao giữa giờ cho sinh viên bớt căng thẳng .,negative,thời gian nghỉ giải lao giờ sinh viên bớt căng thẳng
"nhiều lúc nói chuyện ngoài lề hơi nhiều , dạy thâm giờ .",negative,nhiều lúc nói chuyện lề hơi nhiều dạy thâm giờ
giảng viên dạy nhiệt tình dễ hiểu .,positive,giảng viên dạy nhiệt tình dễ hiểu
biết được một số kỹ năng .,positive,biết một số kỹ năng
em nghĩ không nên cho sinh viên chấm chéo đồ án vì mỗi người code một kiểu và hầu hết ai cũng lo cho đồ án của mình nên việc chấm chéo diễn ra rất khó khăn và gấp gáp nên chấm có thể không chính xác mấy .,negative,nghĩ sinh viên chấm chéo đồ án vì mỗi người code một kiểu hầu hết ai lo đồ án việc chấm chéo diễn ra khó khăn gấp gáp chấm có thể chính xác mấy
mở rộng nhiều kiến thức liên quan .,positive,mở rộng nhiều kiến thức liên quan
"giảng viên vui vẻ , hòa đồng , truyền đạt kiến thức tốt , tận tâm với sinh viên .",positive,giảng viên vui vẻ hòa đồng truyền đạt kiến thức tốt tận tâm sinh viên
tôi xin góp ý doubledot đổi giờ học anh văn vào buổi sáng để chất lượng của buổi học được nâng cao .,negative,xin góp ý doubledot đổi giờ học văn vào buổi sáng để chất lượng buổi học nâng cao
"thầy hay kéo giờ nhưng dạy tận tình , cho ví dụ và bài tập dễ hiểu .",positive,thầy hay kéo giờ nhưng dạy tận tình ví dụ bài tập dễ hiểu
chấm thi kém .,negative,chấm thi kém
"thật vô lý khi dùng màn chiếu để dạy toán 100% , cách này khiến sinh viên không thể nào theo kịp những điều giảng viên nói và cũng không có cơ hội lên bảng giải bài tập .",negative,thật vô lý khi dùng màn chiếu để dạy toán cách khiến sinh viên không thể nào theo kịp những điều giảng viên nói cơ hội lên bảng giải bài tập
thầy truyền đạt nhiều kinh nghiệm quý giá .,positive,thầy truyền đạt nhiều kinh nghiệm quý giá
cảm ơn thầy .,neutral,cảm ơn thầy
cần nhiều hoạt động ngoại khóa .,negative,nhiều hoạt động ngoại khóa
"nên tăng cường dạy từ vựng , bị hỏng kiến thức về từ vựng .",negative,tăng cường dạy vựng hỏng kiến thức về vựng
"giảng dạy kỹ , hỗ trợ sinh viên .",positive,giảng dạy kỹ hỗ trợ sinh viên
"thầy chỉ giảng những kiến thức có trong slide bài giảng , trong khi nội dung môn học có bài tập nhưng sinh viên không được hướng dẫn kỹ về cách làm bài .",negative,thầy chỉ giảng những kiến thức slide bài giảng khi nội dung môn học bài tập nhưng sinh viên hướng dẫn kỹ về cách làm bài
giảng viên có tầm hiểu biết sâu rộng .,positive,giảng viên tầm hiểu biết sâu rộng
em chưa có gặp giáo viên lần nào nữa ạ ?,negative,chưa gặp giáo viên lần nào nữa
"giảng rất dễ hiểu , nhiệt tình với sinh viên .",positive,giảng dễ hiểu nhiệt tình sinh viên
"thầy luôn yêu cầu ý tưởng sinh viên phải thực tế , có thể thực hiện được trong tương lai , nếu sinh viên làm được thì sinh viên đã không phải đi học thầy yêu cầu đề án phải đủ lớn , phải mang tầm vóc quốc tế nhưng nó phải khả thi .",negative,thầy luôn yêu cầu ý tưởng sinh viên thực tế có thể thực hiện tương lai nếu sinh viên làm thì sinh viên đi học thầy yêu cầu đề án đủ lớn mang tầm vóc quốc tế nhưng nó khả thi
đảm bảo tốt .,positive,đảm bảo tốt
"giảng viên dạy dễ tiếp thu , slide trình bày được , giảng viên vui tính , dạy nhiệt tình , tận tình trong công việc .",positive,giảng viên dạy dễ tiếp thu slide trình bày giảng viên vui tính dạy nhiệt tình tận tình công việc
"thầy dạy hay , hướng dẫn tận tình .",positive,thầy dạy hay hướng dẫn tận tình
file thực hành cần có một số gợi ý cho sinh viên biết hướng và định hướng giải .,negative,file thực hành một số gợi ý sinh viên biết hướng định hướng giải
cô dạy nhiệt tình và không bị áp lực trong khi học .,positive,cô dạy nhiệt tình áp lực khi học
thầy dạy rất vui .,positive,thầy dạy vui
"thầy giảng chú trọng nhiều vào slide , ít tương tác với sinh viên , khả năng truyền đạt kiến thức cho sinh viên không được tốt .",negative,thầy giảng chú trọng nhiều vào slide ít tương tác sinh viên khả năng truyền đạt kiến thức sinh viên tốt
bài tập khó và thường không song song với lý thuyết .,negative,bài tập khó thường song song lý thuyết
thầy trực phòng thực hành cũng đã bảo về và vào phòng tắt máy lạnh .,neutral,thầy trực phòng thực hành bảo về vào phòng tắt máy lạnh
thầy cho nghỉ nhiều chắc vì cuối kỳ thầy đi học .,negative,thầy nghỉ nhiều chắc vì cuối kỳ thầy đi học
cô có cách dạy hay dễ hiểu tận tình .,positive,cô cách dạy hay dễ hiểu tận tình
"phòng học anh văn chất lượng loa , micro không tốt , không đáp ứng được cho sinh viên rèn luyện kỹ năng nghe .",negative,phòng học văn chất lượng loa micro tốt đáp ứng sinh viên rèn luyện kỹ năng nghe
truyền đạt rất nhiều kiến thức thực tế bổ ích .,positive,truyền đạt nhiều kiến thức thực tế bổ ích
"thầy wzjwz222 vui vẻ , giảng không buồn ngủ , giải đáp thắc mắc đầy đủ , dễ hiểu .",positive,thầy wzjwz vui vẻ giảng buồn ngủ giải đáp thắc mắc đầy đủ dễ hiểu
giảng viên không dành tìm hiểu trước nội dung giảng dạy trước khi lên lớp .,negative,giảng viên dành tìm hiểu nội dung giảng dạy khi lên lớp
em nghĩ là chỉ cần đồ án cuối kỳ là đủ rồi .,negative,nghĩ chỉ đồ án cuối kỳ đủ rồi
"thầy cho nghỉ quá nhiểu mà không sắp xếp giáo viên dạy thay , vì vậy dẫn tới việc học bù liên tiếp vào những ngày cuối , khi mà chúng em phải ôn tập những kiến thức khác , vẫn có một số buổi thông báo học bù nhưng sau đó lại thông báo nghỉ đột đột , dẫn tới bị ùn kiến thức , không ai ăn được một vạ gạo một ngày cả tên môn học là "" nhập môn công nghệ phần mềm "" nhưng kiến thức và cách đánh giá năng lực học sinh quá nặng nề , nếu là sinh viên các khoa như phần mềm , hệ thống thì có thể hiểu được , nhưng với những sinh viên khoa khoa học máy tính như chúng em vì đây là môn học bắt buộc thì thật là quá sức và những kiến thức thầy nói quá lạc lõng , mơ hồ .",negative,thầy nghỉ nhiểu mà sắp xếp giáo viên dạy thay vì vậy dẫn tới việc học bù liên tiếp vào những ngày cuối khi mà chúng em ôn tập những kiến thức khác vẫn một số buổi thông báo học bù nhưng lại thông báo nghỉ đột đột dẫn tới ùn kiến thức ai ăn một vạ gạo một ngày cả tên môn học nhập môn công nghệ phần mềm nhưng kiến thức cách đánh giá năng lực học sinh nặng nề nếu sinh viên các khoa như phần mềm hệ thống thì có thể hiểu nhưng những sinh viên khoa khoa học máy tính như chúng em vì môn học bắt buộc thì thật quá sức những kiến thức thầy nói lạc lõng mơ hồ
"cách truyền đạt , sự tận tâm .",positive,cách truyền đạt sự tận tâm
thầy luôn làm cho không khí học thoải mái .,positive,thầy luôn làm không khí học thoải mái
dạy tốt chu đáo .,positive,dạy tốt chu đáo
đồng thời bài tập và tài liệu thầy thực sự được cung cấp rất nhiều .,positive,đồng thời bài tập tài liệu thầy thực sự cung cấp nhiều
rất vui và nhiệt tình .,positive,vui nhiệt tình
giảng bài kỹ và dễ hiểu .,positive,giảng bài kỹ dễ hiểu
giảng viên thiếu kinh nghiệm truyền đạt trầm trọng .,negative,giảng viên thiếu kinh nghiệm truyền đạt trầm trọng
"thầy dạy nhanh , nhiều khi theo không kịp .",negative,thầy dạy nhanh nhiều khi theo kịp
"hiền , nhiệt huyết .",positive,hiền nhiệt huyết
"giảng viên hướng dẫn sinh viên nhiệt tình , dễ hiểu .",positive,giảng viên hướng dẫn sinh viên nhiệt tình dễ hiểu
"thầy vui tính , giảng bài dễ hiểu , chỉ dẫn tận tình .",positive,thầy vui tính giảng bài dễ hiểu chỉ dẫn tận tình
cô lên lớp vui vẻ .,positive,cô lên lớp vui vẻ
lâu lâu thầy nói cực nhanh nghe không kịp ý thầy .,negative,lâu lâu thầy nói cực nhanh nghe kịp thầy
"kiến thức thầy rộng , tận tình với học sinh như anh em .",positive,kiến thức thầy rộng tận tình học sinh như anh em
truyền đạt hay .,positive,truyền đạt hay
"giáo viên rất dễ tính , dạy dễ hiểu , có nhiều điểm cộng .",positive,giáo viên dễ tính dạy dễ hiểu nhiều điểm cộng
mail không trả lời .,negative,mail trả lời
mức độ quan tâm học sinh rất cao .,positive,mức độ quan tâm học sinh cao
thường xuyên cho làm bài tập .,negative,thường xuyên làm bài tập
cung cấp thêm tài liệu và cho nhiều ví dụ thêm .,negative,cung cấp thêm tài liệu nhiều ví dụ thêm
trang thiết bị tốt hơn .,negative,trang thiết bị tốt hơn
"giảng viên vui vẻ , hoà đồng , nhiệt tình trong việc giảng dạy .",positive,giảng viên vui vẻ hòa đồng nhiệt tình việc giảng dạy
"mở các câu lạc bộ về lập trình sẽ giúp các sinh viên đầu khoá có cách tiếp cận môn học dễ dàng cũng như cách nghiên cứu về môn học , còn các sinh viên năm 3 năm 4 sẽ có cơ hội hướng dẫn các sinh viên đầu khoá , như vậy các anh chị khoá trên sẽ nắm chặt kiến thức hơn .",negative,mở các câu lạc bộ về lập trình giúp các sinh viên đầu khóa cách tiếp cận môn học dễ dàng như cách nghiên cứu về môn học các sinh viên năm năm cơ hội hướng dẫn các sinh viên đầu khóa như vậy các anh chị khóa nắm chặt kiến thức hơn
vui nhộn và hài hước .,positive,vui nhộn hài hước
chưa chủ động trong việc đưa kiến thức .,negative,chưa chủ động việc đưa kiến thức
"thầy rất có kinh nghiệm khi giảng dạy , các bài giảng của thầy rất có ích sau khi ra trường của sinh viên bọn em .",positive,thầy kinh nghiệm khi giảng dạy các bài giảng thầy có ích khi ra trường sinh viên bọn
tiếc là học kỳ 2 em không đăng ký được lớp lập trình hướng đối tượng của cô !,positive,tiếc học kỳ đăng ký lớp lập trình hướng đối tượng cô
"cô giảng bài rất dễ hiểu , tạo mọi điều kiện tốt nhất cho sinh viên tiếp cận môn học có hiệu quả .",positive,cô giảng bài dễ hiểu tạo mọi điều kiện tốt nhất sinh viên tiếp cận môn học hiệu quả
thầy rất nhiệt tình dạy .,positive,thầy nhiệt tình dạy
thầy nói khó nghe nên đôi lúc không nghe được thầy đang nói gì .,negative,thầy nói khó nghe đôi lúc nghe thầy nói gì
bài tập quá nhiều colonsmilesmile .,negative,bài tập nhiều colonsmilesmile
"cô dạy vui vẻ , nhiệt tình .",positive,cô dạy vui vẻ nhiệt tình
hướng dẫn giải bài tập chi tiết .,positive,hướng dẫn giải bài tập chi tiết
"hầu như không dạy kiến thức oracle cho sinh viên , mà chỉ nói lại kiến thức môn hệ quản trị cơ sở dữ liệu .",negative,hầu như dạy kiến thức oracle sinh viên mà chỉ nói lại kiến thức môn hệ quản trị cơ sở dữ liệu
nên chia ra 2 buổi học 1 là lý thuyết 2 là thực hành .,negative,chia ra buổi học lý thuyết thực hành
thầy giảng đôi lúc hơi nhỏ .,negative,thầy giảng đôi lúc hơi nhỏ
"góp ý , nhắc nhở nhiệt tình , lưu ý sai sót cho sinh viên .",positive,góp ý nhắc nhở nhiệt tình lưu ý sai sót sinh viên
"nhiệt tình , giải đáp tốt thắc mắc của sinh viên .",positive,nhiệt tình giải đáp tốt thắc mắc sinh viên
giọng thầy em nghe không rõ .,negative,giọng thầy nghe rõ
tốn nhiều thời gian trong buổi học cho các việc không cần thiết .,negative,tốn nhiều thời gian buổi học các việc cần thiết
"thầy dạy rất hăng say , nhiệt tình .",positive,thầy dạy hăng say nhiệt tình
thầy dạy hay và vui vẻ .,positive,thầy dạy hay vui vẻ
sinh viên không nắm được nội dung môn học là gì .,negative,sinh viên nắm nội dung môn học gì
"giáo viên nhiệt tình , tận tâm , lên lớp đúng giờ .",positive,giáo viên nhiệt tình tận tâm lên lớp đúng giờ
thời gian môn học nên kéo dài hơn .,negative,thời gian môn học kéo dài hơn
"thầy luôn quan tâm đến sinh viên , luôn nhắc nhở giám sát quá trình .",positive,thầy luôn quan tâm đến sinh viên luôn nhắc nhở giám sát quá trình
"truyền đạt tốt , dễ hiểu ngay trên lớp .",positive,truyền đạt tốt dễ hiểu ngay lớp
"cô dạy rất nhiệt huyết , dạy để hiểu , hiểu bản chất , chứ không phải dạy kiến thức suông như một số giáo viên khác .",positive,cô dạy nhiệt huyết dạy để hiểu hiểu bản chất chứ dạy kiến thức suông như một số giáo viên khác
"hình thức báo cáo đồ án quá đơn giản , không có chiều sâu dẫn đến không nói lên được chất lượng đồ án , không kiểm soát được trường hợp gánh team , trường hợp không hiểu rõ code vẫn được max điểm .",negative,hình thức báo cáo đồ án đơn giản chiều sâu dẫn đến nói lên chất lượng đồ án kiểm soát trường hợp gánh team trường hợp hiểu rõ code vẫn max điểm
"thầy dạy nhiệt tình , dễ hiểu nhưng nên có thêm bài tập về nhà có tính điểm giúp sinh viên tiếp thu bài tốt hơn .",positive,thầy dạy nhiệt tình dễ hiểu nhưng thêm bài tập về nhà tính điểm giúp sinh viên tiếp thu bài tốt hơn
cách chỉ dẫn .,neutral,cách chỉ dẫn
"giọng cô người miền ngoài nên dạy khá khó hiểu , cô dạy hơi nhanh .",negative,giọng cô người miền dạy khá khó hiểu cô dạy hơi nhanh
"rất ok , rất thích cách dạy của thầy .",positive,ok thích cách dạy thầy
"thầy nhiệt tình , vui vẻ , có phương pháp dạy tốt và chương trình cụ thể dễ học .",positive,thầy nhiệt tình vui vẻ phương pháp dạy tốt chương trình cụ thể dễ học
"giảng dạy mông lung , không rõ ràng .",negative,giảng dạy mông lung không rõ ràng
"đưa ra các ví dụ rất hay rất thực tế , bài tập khó nhưng hay kiến sinh viên chủ động học tập .",positive,đưa ra các ví dụ hay thực tế bài tập khó nhưng hay kiến sinh viên chủ động học tập
giảng rất dễ hiểu .,positive,giảng dễ hiểu
"thầy nhiệt tình , vui tính , công bằng .",positive,thầy nhiệt tình vui tính công bằng
"giảng viên vui tính , tận tâm , nhiệt tình .",positive,giảng viên vui tính tận tâm nhiệt tình
"thầy vẫn đọc slide và nói quá nhanh , những gì thầy nói đã có sẵn trên slide sinh viên đọc có thể rút ra được .",negative,thầy vẫn đọc slide nói nhanh những gì thầy nói sẵn slide sinh viên đọc có thể rút ra
"tôi chưa từng thấy giáo viên nào mà nghỉ nhiều , lại hay đi trễ về sớm như vậy .",negative,chưa từng thấy giáo viên nào mà nghỉ nhiều lại hay đi trễ về sớm như vậy
"thầy ít lên lớp , học một học kỳ mà chỉ học được 2 buổi .",negative,thầy ít lên lớp học một học kỳ mà chỉ học buổi
"giảng viên cho nghỉ quá nhiều , đến cuối kỳ học bù quá nhiều .",negative,giảng viên nghỉ nhiều đến cuối kỳ học bù nhiều
nhiệt huyết truyền đạt kiến thức .,positive,nhiệt huyết truyền đạt kiến thức
nên có bài viết hoặc bài tiểu luận mỗi 2 tuần trên courses để sinh viên thực tập .,negative,bài viết hoặc bài tiểu luận mỗi tuần courses để sinh viên thực tập
"giảng viên có chuyên môn tốt , giải đáp trả lời thắc mắc đầy đủ từ sinh viên .",positive,giảng viên chuyên môn tốt giải đáp trả lời thắc mắc đầy đủ sinh viên
"cô dạy nhiệt tình , phân nhóm thuyết trình tạo không khí học tập sôi nổi .",positive,cô dạy nhiệt tình phân nhóm thuyết trình tạo không khí học tập sôi nổi
thân thiện với học sinh .,positive,thân thiện học sinh
"phần cho điểm , nội dung ôn thi .",neutral,phần điểm nội dung ôn thi
"thầy dạy rất dễ hiểu , cho nhiều bài tập .",positive,thầy dạy dễ hiểu nhiều bài tập
"em biết điều này rất tế nhị và khó cải thiện , đó là việc nghe giảng của em bị hạn chế vì em không nghe được chất giọng fraction tiếng của giảng viên nên hay bị mất kết nối kiến thức giữa chừng trong khi nghe giảng .",negative,biết điều tế nhị khó cải thiện việc nghe giảng hạn chế vì nghe chất giọng fraction tiếng giảng viên hay mất kết nối kiến thức giữa chừng khi nghe giảng
đến lớp đúng giờ .,positive,đến lớp đúng giờ
"em cũng như các bạn học chung trong lớp đều thấy phần thực hành cho mỗi buổi như thế là quá nhiều , nhất là các bài thực hành từ 13 trở đi .",negative,như các học chung lớp thấy phần thực hành mỗi buổi như thế nhiều nhất các bài thực hành trở đi
"thầy cho bài kiểm tra tính cách , sau đó lập nhóm trong nhóm có đầy đủ nhóm tính cách , thầy còn khuyên , nhóm đừng nên quen biết nhau thầy đã sai lầm lúc đầu em và mọi người ắt hẳn phấn khích lắm nhưng sau này thầy để mỗi nhóm tìm ra con đường chính của cả nhóm !",negative,thầy bài kiểm tra tính cách lập nhóm nhóm đầy đủ nhóm tính cách thầy khuyên nhóm đừng quen biết nhau thầy sai lầm lúc đầu mọi người ắt hẳn phấn khích nhưng sau này thầy để mỗi nhóm tìm ra con đường chính cả nhóm
"giảng chậm , chi tiết , dễ hiểu .",positive,giảng chậm chi tiết dễ hiểu
nên bổ sung thêm giáo trình cho sinh viên .,negative,bổ sung thêm giáo trình sinh viên
giảng giải tốt vấn đề được đề cập đến .,positive,giảng giải tốt vấn đề đề cập đến
cô cho bài tập trắc nghiệm về nhà trên moodle .,neutral,cô bài tập trắc nghiệm về nhà moodle
